ID Cliente,Tipo Cliente,Ubicación,Frecuencia Compra,Volumen Harina (kg),Volumen Huevos (docenas),Gasto Promedio ($),Método de Pago
1,Minimarket,Las animas,Semanal,355,68,316356,Crédito
2,Restaurante,Las animas,Quincenal,371,185,361035,Crédito
3,Minimarket,Los molinos,Semanal,470,107,423369,Tarjeta
4,Consumidor minorista,Corral,Semanal,5,4,5268,Crédito
5,Panadería,Las animas,Mensual,200,129,202443,Tarjeta
6,Restaurante,Valdivia,Semanal,97,154,122598,Efectivo
7,Minimarket,Corral,Mensual,432,95,388245,Tarjeta
8,Restaurante,Las animas,Semanal,326,41,284787,Crédito
9,Tienda Pequeña,Las animas,Mensual,55,30,54210,Tarjeta
10,Minimarket,Corral,Quincenal,342,71,306237,Tarjeta
11,Consumidor minorista,Los molinos,Mensual,3,3,3321,Crédito
12,Consumidor minorista,Niebla,Mensual,1,4,1908,Efectivo
13,Minimarket,Niebla,Semanal,412,186,395742,Crédito
14,Minimarket,Niebla,Semanal,259,52,231444,Crédito
15,Tienda Pequeña,Valdivia,Semanal,13,39,21333,Tarjeta
16,Tienda Pequeña,Corral,Quincenal,78,38,75666,Efectivo
17,Tienda Pequeña,Los molinos,Mensual,51,48,55656,Crédito
18,Restaurante,Corral,Mensual,415,174,395058,Efectivo
19,Tienda Pequeña,Las animas,Semanal,22,43,29961,Crédito
20,Panadería,Las animas,Mensual,69,22,63834,Tarjeta
21,Tienda Pequeña,Niebla,Quincenal,92,8,79416,Crédito
22,Tienda Pequeña,Niebla,Quincenal,34,6,30162,Tarjeta
23,Panadería,Corral,Quincenal,241,144,240888,Tarjeta
24,Minimarket,Corral,Semanal,483,109,434823,Efectivo
25,Panadería,Niebla,Mensual,158,37,142599,Crédito
26,Restaurante,Las animas,Quincenal,434,141,402207,Tarjeta
27,Minimarket,Las animas,Mensual,248,41,219267,Tarjeta
28,Consumidor minorista,Valdivia,Semanal,5,2,4734,Crédito
29,Minimarket,Las animas,Semanal,94,56,93912,Tarjeta
30,Panadería,Valdivia,Mensual,500,85,442695,Crédito
31,Minimarket,Niebla,Mensual,292,83,267441,Crédito
32,Panadería,Los molinos,Quincenal,187,95,182445,Crédito
33,Minimarket,Las animas,Mensual,372,181,360807,Crédito
34,Restaurante,Los molinos,Mensual,148,159,166773,Crédito
35,Tienda Pequeña,Los molinos,Mensual,60,49,63483,Crédito
36,Minimarket,Corral,Mensual,215,81,202227,Efectivo
37,Restaurante,Niebla,Mensual,143,139,157233,Crédito
38,Tienda Pequeña,Niebla,Quincenal,68,16,61392,Crédito
39,Tienda Pequeña,Niebla,Semanal,51,47,55389,Efectivo
40,Panadería,Valdivia,Quincenal,463,151,429237,Efectivo
41,Restaurante,Los molinos,Quincenal,127,145,145395,Efectivo
42,Tienda Pequeña,Corral,Quincenal,22,42,29694,Crédito
43,Minimarket,Niebla,Semanal,465,129,425043,Efectivo
44,Tienda Pequeña,Niebla,Quincenal,74,14,65898,Crédito
45,Minimarket,Corral,Semanal,55,128,80376,Tarjeta
46,Restaurante,Corral,Mensual,55,55,60885,Crédito
47,Restaurante,Corral,Mensual,173,180,193380,Efectivo
48,Restaurante,Corral,Semanal,306,131,292017,Crédito
49,Tienda Pequeña,Los molinos,Mensual,63,18,57726,Tarjeta
50,Tienda Pequeña,Niebla,Semanal,50,7,43869,Efectivo
51,Consumidor minorista,Niebla,Mensual,4,2,3894,Crédito
52,Panadería,Los molinos,Quincenal,248,173,254511,Efectivo
53,Restaurante,Corral,Quincenal,117,147,137529,Crédito
54,Panadería,Valdivia,Mensual,248,107,236889,Tarjeta
55,Restaurante,Niebla,Quincenal,154,173,175551,Crédito
56,Restaurante,Las animas,Mensual,246,161,249627,Tarjeta
57,Minimarket,Niebla,Semanal,282,24,243288,Crédito
58,Panadería,Corral,Quincenal,453,25,387195,Efectivo
59,Panadería,Niebla,Mensual,188,66,175542,Tarjeta
60,Restaurante,Los molinos,Semanal,141,70,137130,Tarjeta
61,Minimarket,Las animas,Quincenal,101,114,115278,Tarjeta
62,Consumidor minorista,Valdivia,Semanal,1,1,1107,Efectivo
63,Consumidor minorista,Las animas,Semanal,5,4,5268,Crédito
64,Tienda Pequeña,Niebla,Mensual,68,5,58455,Efectivo
65,Tienda Pequeña,Los molinos,Quincenal,92,25,83955,Crédito
66,Minimarket,Niebla,Quincenal,374,99,340593,Crédito
67,Consumidor minorista,Las animas,Semanal,1,4,1908,Tarjeta
68,Panadería,Valdivia,Quincenal,439,103,396261,Tarjeta
69,Minimarket,Valdivia,Semanal,298,86,273282,Crédito
70,Consumidor minorista,Niebla,Quincenal,7,4,6948,Efectivo
71,Restaurante,Las animas,Semanal,399,176,382152,Tarjeta
72,Tienda Pequeña,Corral,Mensual,56,43,58521,Tarjeta
73,Consumidor minorista,Corral,Semanal,8,3,7521,Tarjeta
74,Restaurante,Las animas,Semanal,295,186,297462,Crédito
75,Tienda Pequeña,Corral,Semanal,77,48,77496,Efectivo
76,Restaurante,Valdivia,Semanal,315,57,279819,Tarjeta
77,Restaurante,Corral,Mensual,110,68,110556,Efectivo
78,Restaurante,Valdivia,Quincenal,453,173,426711,Tarjeta
79,Consumidor minorista,Valdivia,Mensual,10,3,9201,Efectivo
80,Tienda Pequeña,Niebla,Mensual,76,33,72651,Efectivo
81,Restaurante,Niebla,Mensual,64,135,89805,Crédito
82,Restaurante,Corral,Semanal,360,159,344853,Crédito
83,Restaurante,Valdivia,Semanal,297,22,255354,Crédito
84,Restaurante,Corral,Mensual,187,155,198465,Tarjeta
