ID Cliente;Mes;Tipo Cliente;Ubicacion;Frecuencia Compra;Volumen Harina (kg);Volumen Huevos;Ingreso Harina ($);Ingreso Huevos ($);Costo Harina ($);Costo Huevos ($);Metodo de Pago
1;Marzo;Tienda Pequeña;Corral;Semanal;25;180;21000;45000;18500;40000;Efectivo
2;Marzo;Minimarket;Niebla;Mensual;100;720;84000;180000;18500;40000;Tarjeta
3;Marzo;Panaderia;Valdivia;Quincenal;100;0;84000;0;18500;0;Tarjeta
4;Marzo;Minimarket;Corral;Mensual;100;720;84000;182880;18500;40000;Efectivo
5;Marzo;Minimarket;Niebla;Quincenal;75;0;63000;0;18500;0;Tarjeta
6;Marzo;Tienda Pequeña;Las animas;Mensual;50;720;42000;180000;18500;40000;Efectivo
7;Marzo;Minimarket;Valdivia;Semanal;50;0;42000;0;18500;0;Efectivo
8;Marzo;Restaurante;Corral;Quincenal;50;360;42000;90000;18500;40000;Tarjeta
9;Marzo;Tienda Pequeña;Las animas;Semanal;25;180;21000;45000;18500;40000;Tarjeta
10;Marzo;Minimarket;Niebla;Mensual;125;0;105000;0;18500;0;Efectivo
11;Marzo;Panaderia;Los molinos;Semanal;100;0;84000;0;18500;0;Tarjeta
12;Marzo;Consumidor ;Valdivia;Mensual;25;360;21000;90000;18500;40000;Efectivo
13;Marzo;Consumidor ;Las animas;Semanal;0;180;0;45000;0;40000;Tarjeta
14;Marzo;Tienda Pequeña;Los molinos;Mensual;50;540;42000;135000;18500;40000;Efectivo
15;Marzo;Restaurante;Corral;Mensual;100;540;84000;135000;18500;40000;Credito
16;Marzo;Restaurante;Los molinos;Mensual;0;720;0;180000;0;40000;Tarjeta
17;Marzo;Restaurante;Corral;Quincenal;0;720;0;180000;0;40000;Credito
18;Marzo;Consumidor ;Niebla;Quincenal;25;180;21000;45000;18500;40000;Tarjeta
19;Marzo;Tienda Pequeña;Niebla;Semanal;25;360;21000;90000;18500;40000;Tarjeta
20;Marzo;Minimarket;Las animas;Quincenal;0;540;0;135000;0;40000;Efectivo
21;Marzo;Minimarket;Niebla;Semanal;25;360;21000;90000;18500;40000;Tarjeta
22;Marzo;Minimarket;Valdivia;Quincenal;75;360;63000;90000;18500;40000;Credito
23;Marzo;Tienda Pequeña;Las animas;Quincenal;25;360;21000;90000;18500;40000;Tarjeta
24;Marzo;Minimarket;Valdivia;Semanal;0;360;0;90000;0;40000;Tarjeta
25;Marzo;Tienda Pequeña;Valdivia;Quincenal;50;180;42000;45000;18500;40000;Tarjeta
26;Marzo;Consumidor ;Las animas;Mensual;25;360;21000;90000;18500;40000;Efectivo
27;Marzo;Restaurante;Valdivia;Semanal;25;540;21000;135000;18500;40000;Efectivo
28;Marzo;Tienda Pequeña;Los molinos;Quincenal;25;360;21000;90000;18500;40000;Tarjeta
29;Marzo;Restaurante;Valdivia;Semanal;25;540;21000;135000;18500;40000;Tarjeta
30;Marzo;Consumidor ;Valdivia;Semanal;0;180;0;40000;0;40000;Efectivo
31;Marzo;Panaderia;Los molinos;Mensual;125;0;105000;0;18500;0;Tarjeta
32;Marzo;Tienda Pequeña;Los molinos;Mensual;50;720;42000;180000;18500;40000;Efectivo
33;Marzo;Restaurante;Las animas;Semanal;50;0;42000;0;18500;0;Credito
34;Marzo;Restaurante;Corral;Quincenal;0;720;0;180000;0;40000;Credito
35;Marzo;Minimarket;Corral;Mensual;75;540;63000;135000;18500;40000;Tarjeta
36;Marzo;Consumidor ;Corral;Mensual;25;180;21000;45000;18500;40000;Tarjeta
37;Marzo;Tienda Pequeña;Corral;Semanal;50;180;42000;45000;18500;40000;Tarjeta
38;Marzo;Consumidor ;Las animas;Semanal;25;180;21000;45000;18500;40000;Efectivo
39;Marzo;Consumidor ;Las animas;Quincenal;0;180;0;45000;0;40000;Efectivo
40;Marzo;Tienda Pequeña;Los molinos;Mensual;50;0;42000;0;18500;0;Efectivo
41;Marzo;Consumidor ;Valdivia;Mensual;25;0;21000;0;18500;0;Efectivo
42;Marzo;Tienda Pequeña;Corral;Semanal;0;180;0;45000;0;40000;Tarjeta
